Year,Risk
1998-01,10.024
1998-02,9.905333333
1998-03,9.786666667
1998-04,9.668
1998-05,9.942333333
1998-06,10.21666667
1998-07,10.491
1998-08,11.23
1998-09,11.969
1998-10,12.708
1998-11,12.70833333
1998-12,12.70866667
1999-01,12.709
1999-02,12.86566667
1999-03,13.02233333
1999-04,13.179
1999-05,13.95666667
1999-06,14.73433333
1999-07,15.512
1999-08,15.998
1999-09,16.484
1999-10,16.97
1999-11,17.009
1999-12,17.048
2000-01,17.087
2000-02,16.92266667
2000-03,16.75833333
2000-04,16.594
2000-05,16.18166667
2000-06,15.76933333
2000-07,15.357
2000-08,15.49766667
2000-09,15.63833333
2000-10,15.779
2000-11,15.937
2000-12,16.095
2001-01,16.253
2001-02,16.05666667
2001-03,15.86033333
2001-04,15.664
2001-05,15.51366667
2001-06,15.36333333
2001-07,15.213
2001-08,15.20466667
2001-09,15.19633333
2001-10,15.188
2001-11,15.37166667
2001-12,15.55533333
2002-01,15.739
2002-02,15.74033333
2002-03,15.74166667
2002-04,15.743
2002-05,15.84466667
2002-06,15.94633333
2002-07,16.048
2002-08,16.16666667
2002-09,16.28533333
2002-10,16.404
2002-11,16.67966667
2002-12,16.95533333
2003-01,17.231
2003-02,17.10833333
2003-03,16.98566667
2003-04,16.863
2003-05,16.89033333
2003-06,16.91766667
2003-07,16.945
2003-08,17.535
2003-09,18.125
2003-10,18.715
2003-11,18.775
2003-12,18.835
2004-01,18.895
2004-02,18.84966667
2004-03,18.80433333
2004-04,18.759
2004-05,19.233
2004-06,19.707
2004-07,20.181
2004-08,20.01633333
2004-09,19.85166667
2004-10,19.687
2004-11,19.77466667
2004-12,19.86233333
2005-01,19.95
2005-02,20.07566667
2005-03,20.20133333
2005-04,20.327
2005-05,20.248
2005-06,20.169
2005-07,20.09
2005-08,20.42266667
2005-09,20.75533333
2005-10,21.088
2005-11,21.31666667
2005-12,21.54533333
2006-01,21.774
2006-02,21.66166667
2006-03,21.54933333
2006-04,21.437
2006-05,21.412
2006-06,21.387
2006-07,21.362
2006-08,21.34833333
2006-09,21.33466667
2006-10,21.321
2006-11,20.297
2006-12,19.273
2007-01,18.249
2007-02,16.01333333
2007-03,13.77766667
2007-04,11.542
2007-05,11.116
2007-06,10.69
2007-07,10.264
2007-08,10.297
2007-09,10.33
2007-10,10.363
2007-11,9.644333333
2007-12,8.925666667
2008-01,8.207
2008-02,7.492666667
2008-03,6.778333333
2008-04,6.064
2008-05,5.775666667
2008-06,5.487333333
2008-07,5.199
2008-08,5.431666667
2008-09,5.664333333
2008-10,5.897
2008-11,6.128333333
2008-12,6.359666667
2009-01,6.591
2009-02,6.38
2009-03,6.169
2009-04,5.958
2009-05,6.080333333
2009-06,6.202666667
2009-07,6.325
2009-08,6.739333333
2009-09,7.153666667
2009-10,7.568
2009-11,7.383333333
2009-12,7.198666667
2010-01,7.014
2010-02,6.681666667
2010-03,6.349333333
2010-04,6.017
2010-05,5.568666667
2010-06,5.120333333
2010-07,4.672
2010-08,4.48
2010-09,4.288
2010-10,4.096
2010-11,4.586333333
2010-12,5.076666667
2011-01,5.567
2011-02,4.780666667
2011-03,3.994333333
2011-04,3.208
2011-05,3.352
2011-06,3.496
2011-07,3.64
2011-08,3.833666667
2011-09,4.027333333
2011-10,4.221
2011-11,4.364
2011-12,4.507
2012-01,4.65
2012-02,4.304333333
2012-03,3.958666667
2012-04,3.613
2012-05,3.682
2012-06,3.751
2012-07,3.82
2012-08,3.699666667
2012-09,3.579333333
2012-10,3.459
2012-11,3.257333333
2012-12,3.055666667
2013-01,2.854
2013-02,2.694333333
2013-03,2.534666667
2013-04,2.375
2013-05,2.347666667
2013-06,2.320333333
2013-07,2.293
2013-08,2.336
2013-09,2.379
2013-10,2.422
2013-11,2.469333333
2013-12,2.516666667
2014-01,2.564
2014-02,2.49
2014-03,2.416
2014-04,2.342
2014-05,2.332666667
2014-06,2.323333333
2014-07,2.314
2014-08,2.328333333
2014-09,2.342666667
2014-10,2.357
2014-11,2.374333333
2014-12,2.391666667
2015-01,2.409
2015-02,2.384333333
2015-03,2.359666667
2015-04,2.335
2015-05,2.332666667
2015-06,2.330333333
2015-07,2.328
2015-08,2.362666667
2015-09,2.397333333
2015-10,2.432
2015-11,2.492666667
2015-12,2.553333333
2016-01,2.614
2016-02,2.587666667
2016-03,2.561333333
2016-04,2.535
2016-05,2.536666667
2016-06,2.538333333
2016-07,2.54
2016-08,2.552666667
2016-09,2.565333333
2016-10,2.578
2016-11,2.599333333
2016-12,2.620666667
2017-01,2.642
2017-02,2.614
2017-03,2.586
2017-04,2.558
2017-05,2.533666667
2017-06,2.509333333
2017-07,2.485
2017-08,2.518
2017-09,2.551
2017-10,2.584
2017-11,2.562
2017-12,2.54
2018-01,2.518
2018-02,2.534666667
2018-03,2.551333333
2018-04,2.568
2018-05,2.57
2018-06,2.572
2018-07,2.574
2018-08,2.588666667
2018-09,2.603333333
2018-10,2.618
2018-11,2.67
2018-12,2.722
2019-01,2.774
2019-02,2.779666667
2019-03,2.785333333
2019-04,2.791
2019-05,2.769
2019-06,2.747
2019-07,2.725
2019-08,2.682333333
2019-09,2.639666667
2019-10,2.597
2019-11,2.654666667
2019-12,2.712333333
2020-01,2.77
2020-02,2.797
2020-03,2.824
2020-04,2.851
2020-05,2.796666667
2020-06,2.742333333
2020-07,2.688
2020-08,2.706666667
2020-09,2.725333333
2020-10,2.744
2020-11,2.75
2020-12,2.73
